date,source,target,value
7/1/2017,Source,ARK-CNGFR,521.00
7/1/2017,Source,MTS-CNG,1971.00
7/1/2017,Source,QFC-CNG,232.00
7/1/2017,Source,ST-CNG,755.00
7/2/2017,Source,ARK-CNG,521.00
7/2/2017,Source,MTS-CNG,1971.00
7/2/2017,Source,QFC-CNG,232.00
7/2/2017,Source,ST-CNG,755.00
7/3/2017,Source,ARK-CNG,521.00
7/3/2017,Source,MTS-CNG,1971.00
7/3/2017,Source,QFC-CNG,231.00
7/3/2017,Source,ST-CNG,755.00
7/4/2017,Source,ARK-CNG,521.00
7/4/2017,Source,MTS-CNG,1971.00
7/4/2017,Source,QFC-CNG,231.00
7/4/2017,Source,ST-CNG,755.00
7/5/2017,Source,ARK-CNG,520.00
7/5/2017,Source,MTS-CNG,1971.00
7/5/2017,Source,QFC-CNG,231.00
7/5/2017,Source,ST-CNG,755.00
7/6/2017,Source,ARK-CNG,520.00
7/6/2017,Source,MTS-CNG,1972.00
7/6/2017,Source,QFC-CNG,231.00
7/6/2017,Source,ST-CNG,755.00
7/7/2017,Source,ARK-CNG,520.00
7/7/2017,Source,MTS-CNG,1972.00
7/7/2017,Source,QFC-CNG,231.00
7/7/2017,Source,ST-CNG,754.00
7/8/2017,Source,ARK-CNG,520.00
7/8/2017,Source,MTS-CNG,1971.00
7/8/2017,Source,QFC-CNG,231.00
7/8/2017,Source,ST-CNG,754.00
7/9/2017,Source,ARK-CNG,520.00
7/9/2017,Source,MTS-CNG,1971.00
7/9/2017,Source,QFC-CNG,231.00
7/9/2017,Source,ST-CNG,754.00
7/10/2017,Source,ARK-CNG,520.00
7/10/2017,Source,MTS-CNG,1971.00
7/10/2017,Source,QFC-CNG,231.00
7/10/2017,Source,ST-CNG,754.00
7/11/2017,Source,ARK-CNG,520.00
7/11/2017,Source,MTS-CNG,1970.00
7/11/2017,Source,QFC-CNG,231.00
7/11/2017,Source,ST-CNG,754.00
7/12/2017,Source,ARK-CNG,520.00
7/12/2017,Source,MTS-CNG,1970.00
7/12/2017,Source,QFC-CNG,231.00
7/12/2017,Source,ST-CNG,754.00
7/13/2017,Source,ARK-CNG,520.00
7/13/2017,Source,MTS-CNG,1970.00
7/13/2017,Source,QFC-CNG,231.00
7/13/2017,Source,ST-CNG,754.00
7/14/2017,Source,ARK-CNG,520.00
7/14/2017,Source,MTS-CNG,1970.00
7/14/2017,Source,QFC-CNG,231.00
7/14/2017,Source,ST-CNG,753.00
7/15/2017,Source,ARK-CNG,520.00
7/15/2017,Source,MTS-CNG,1970.00
7/15/2017,Source,QFC-CNG,231.00
7/15/2017,Source,ST-CNG,753.00
7/16/2017,Source,ARK-CNG,520.00
7/16/2017,Source,MTS-CNG,1970.00
7/16/2017,Source,QFC-CNG,231.00
7/16/2017,Source,ST-CNG,753.00
7/17/2017,Source,ARK-CNG,520.00
7/17/2017,Source,MTS-CNG,1969.00
7/17/2017,Source,QFC-CNG,231.00
7/17/2017,Source,ST-CNG,753.00
7/18/2017,Source,ARK-CNG,520.00
7/18/2017,Source,MTS-CNG,1969.00
7/18/2017,Source,QFC-CNG,231.00
7/18/2017,Source,ST-CNG,753.00
7/19/2017,Source,ARK-CNG,520.00
7/19/2017,Source,MTS-CNG,1969.00
7/19/2017,Source,QFC-CNG,231.00
7/19/2017,Source,ST-CNG,753.00
7/20/2017,Source,ARK-CNG,520.00
7/20/2017,Source,MTS-CNG,1969.00
7/20/2017,Source,QFC-CNG,231.00
7/20/2017,Source,ST-CNG,753.00
7/21/2017,Source,ARK-CNG,520.00
7/21/2017,Source,MTS-CNG,1969.00
7/21/2017,Source,QFC-CNG,231.00
7/21/2017,Source,ST-CNG,753.00
7/22/2017,Source,ARK-CNG,520.00
7/22/2017,Source,MTS-CNG,1969.00
7/22/2017,Source,QFC-CNG,231.00
7/22/2017,Source,ST-CNG,753.00
7/23/2017,Source,ARK-CNG,520.00
7/23/2017,Source,MTS-CNG,1969.00
7/23/2017,Source,QFC-CNG,231.00
7/23/2017,Source,ST-CNG,753.00
7/24/2017,Source,ARK-CNG,520.00
7/24/2017,Source,MTS-CNG,1969.00
7/24/2017,Source,QFC-CNG,231.00
7/24/2017,Source,ST-CNG,753.00
7/25/2017,Source,ARK-CNG,520.00
7/25/2017,Source,MTS-CNG,1969.00
7/25/2017,Source,QFC-CNG,231.00
7/25/2017,Source,ST-CNG,753.00
7/26/2017,Source,ARK-CNG,520.00
7/26/2017,Source,MTS-CNG,1967.00
7/26/2017,Source,QFC-CNG,231.00
7/26/2017,Source,ST-CNG,753.00
7/27/2017,Source,ARK-CNG,520.00
7/27/2017,Source,MTS-CNG,1967.00
7/27/2017,Source,QFC-CNG,231.00
7/27/2017,Source,ST-CNG,753.00
7/28/2017,Source,ARK-CNG,520.00
7/28/2017,Source,MTS-CNG,1967.00
7/28/2017,Source,QFC-CNG,231.00
7/28/2017,Source,ST-CNG,753.00
7/29/2017,Source,ARK-CNG,519.00
7/29/2017,Source,MTS-CNG,1967.00
7/29/2017,Source,QFC-CNG,231.00
7/29/2017,Source,ST-CNG,753.00
7/30/2017,Source,ARK-CNG,519.00
7/30/2017,Source,MTS-CNG,1967.00
7/30/2017,Source,QFC-CNG,231.00
7/30/2017,Source,ST-CNG,753.00
7/31/2017,Source,ARK-CNG,519.00
7/31/2017,Source,MTS-CNG,1967.00
7/31/2017,Source,QFC-CNG,231.00
7/31/2017,Source,ST-CNG,753.00
