date	close	id	rate	open
24-Apr-07	20699.28	1001	0.097	93.24
25-Apr-07	21167.7	1003	0.091	95.35
26-Apr-07	21942.48	1005	0.134	98.84
27-Apr-07	22182.24	1007	0.121	99.92
30-Apr-07	22155.6	1009	0.099	99.8
1-May-07	22082.34	1011	0.164	99.47
2-May-07	22286.58	1013	0.167	100.39
3-May-07	22288.8	1015	0.108	100.4
4-May-07	22379.82	1017	0.186	100.81
7-May-07	23070.24	1019	0.118	103.92
8-May-07	45523.32	1021	0.099	205.06
9-May-07	45927.36	1023	0.127	206.88
10-May-07	46029.48	1025	0.17	207.34
11-May-07	46340.28	1027	0.159	208.74
14-May-07	46477.92	1029	0.104	209.36
15-May-07	23869.44	1031	0.085	107.52
16-May-07	46029.48	1033	0.114	207.34
17-May-07	24295.68	1035	0.195	109.44
18-May-07	24424.44	1037	0.14	110.02
21-May-07	24859.56	1039	0.101	111.98
22-May-07	25205.88	1041	0.097	113.54
23-May-07	25061.58	1043	0.096	112.89
24-May-07	24573.18	1045	0.093	110.69
25-May-07	25223.64	1047	0.211	113.62
29-May-07	25385.7	1049	0.143	114.35
30-May-07	26366.94	1051	0.09	118.77
31-May-07	26904.18	1053	0.129	121.19
1-Jun-07	26284.8	1055	0.107	118.4
4-Jun-07	26935.26	1057	0.128	121.33
5-Jun-07	27232.74	1059	0.123	122.67
6-Jun-07	36328.08	1061	0.1	163.64
7-Jun-07	45523.32	1063	0.147	205.06
8-Jun-07	27636.78	1065	0.127	124.49
11-Jun-07	26682.18	1067	0.099	120.19
12-Jun-07	26724.36	1069	0.089	120.38
13-Jun-07	26085	1071	0.118	117.5
14-Jun-07	26362.5	1073	0.107	118.75
15-Jun-07	26751	1075	0.148	120.5
18-Jun-07	27769.98	1077	0.105	125.09
19-Jun-07	27452.52	1079	0.136	123.66
20-Jun-07	26984.1	1081	0.086	121.55
21-Jun-07	27505.8	1083	0.093	123.9
22-Jun-07	27306	1085	0.185	123
25-Jun-07	27159.48	1087	0.114	122.34
26-Jun-07	26562.3	1089	0.075	119.65
27-Jun-07	27059.58	1091	0.148	121.89
28-Jun-07	26764.32	1093	0.152	120.56
29-Jun-07	27092.88	1095	0.092	122.04
2-Jul-07	26919.72	1097	0.111	121.26
3-Jul-07	28231.74	1099	0.187	127.17
5-Jul-07	29470.5	1101	0.102	132.75
6-Jul-07	29370.6	1103	0.104	132.3
9-Jul-07	28933.26	1105	0.198	130.33
10-Jul-07	29381.7	1107	0.13	132.35
11-Jul-07	29390.58	1109	0.087	132.39
12-Jul-07	29763.54	1111	0.151	134.07
13-Jul-07	30576.06	1113	0.126	137.73
16-Jul-07	30658.2	1115	0.107	138.1
17-Jul-07	30838.02	1117	0.076	138.91
18-Jul-07	30662.64	1119	0.139	138.12
19-Jul-07	31080	1121	0.136	140
20-Jul-07	31912.5	1123	0.137	143.75
23-Jul-07	31901.4	1125	0.09	143.7
24-Jul-07	29945.58	1127	0.119	134.89
25-Jul-07	30471.72	1129	0.151	137.26
26-Jul-07	32412	1131	0.256	146
27-Jul-07	31934.7	1133	0.175	143.85
30-Jul-07	31397.46	2013	0.101	141.43
31-Jul-07	29250.72	2016	0.084	131.76
1-Aug-07	29970	2020	0.07	135
2-Aug-07	30300.78	2050	0.148	136.49
3-Aug-07	29270.7	2060	0.036	131.85
6-Aug-07	30025.5	2068	0.034	135.25
7-Aug-07	29976.66	2070	0.084	135.03
8-Aug-07	29750.22	2090	0.069	134.01
9-Aug-07	28058.58	2100	0.062	126.39
10-Aug-07	27750	2110	0.057	125
13-Aug-07	28369.38	2122	0.097	127.79
14-Aug-07	27534.66	2130	0.061	124.03
15-Aug-07	26617.8	2150	0.066	119.9
16-Aug-07	25985.1	2164	0.059	117.05
17-Aug-07	27097.32	2170	0.088	122.06
20-Aug-07	27132.84	2180	0.121	122.22
21-Aug-07	28320.54	2185	0.057	127.57
22-Aug-07	29417.22	2188	0.132	132.51
23-Aug-07	29097.54	2201	0.136	131.07
24-Aug-07	30036.6	2220	0.059	135.3
27-Aug-07	29359.5	2232	0.073	132.25
28-Aug-07	28154.04	2240	0.081	126.82
29-Aug-07	29765.76	2261	0.064	134.08
30-Aug-07	30247.5	2270	0.204	136.25
31-Aug-07	30742.56	2280	0.098	138.48
4-Sep-07	32003.52	2282	0.063	144.16
5-Sep-07	30360.72	2290	0.136	136.76
6-Sep-07	29972.22	4001	0.148	135.01
7-Sep-07	29252.94	4003	0.074	131.77
10-Sep-07	30349.62	4005	0.077	136.71
11-Sep-07	30078.78	4007	0.109	135.49
12-Sep-07	30380.7	4009	0.144	136.85
13-Sep-07	30458.4	4011	0.215	137.2
14-Sep-07	30815.82	4012	0.089	138.81
17-Sep-07	30727.02	4013	0.085	138.41
